12	6	E	-4.29323182585187E8	50
emissionprobs	1	1	H3K27me3	0	0.09973325662773327
emissionprobs	1	1	H3K27me3	1	0.9002667433722668
emissionprobs	1	2	H3K36me3	0	0.9940717650664387
emissionprobs	1	2	H3K36me3	1	0.005928234933561365
emissionprobs	1	3	H3K4me1	0	0.3959063181151617
emissionprobs	1	3	H3K4me1	1	0.6040936818848384
emissionprobs	1	4	H3K4me3	0	0.5043481025511123
emissionprobs	1	4	H3K4me3	1	0.4956518974488876
emissionprobs	1	5	H3K9me3	0	0.8455011382729467
emissionprobs	1	5	H3K9me3	1	0.15449886172705343
emissionprobs	2	0	H3K27ac	0	0.9987008732012534
emissionprobs	2	0	H3K27ac	1	0.0012991267987464891
emissionprobs	2	1	H3K27me3	0	0.5924623648040501
emissionprobs	2	1	H3K27me3	1	0.40753763519594993
emissionprobs	2	2	H3K36me3	0	0.9996858107091017
emissionprobs	2	2	H3K36me3	1	3.141892908983947E-4
emissionprobs	2	3	H3K4me1	0	0.9959913556841268
emissionprobs	2	3	H3K4me1	1	0.004008644315873272
emissionprobs	2	4	H3K4me3	0	0.9977727404215891
emissionprobs	2	4	H3K4me3	1	0.0022272595784109213
emissionprobs	2	5	H3K9me3	0	0.9805684498920773
emissionprobs	2	5	H3K9me3	1	0.01943155010792281
emissionprobs	3	0	H3K27ac	0	0.9993715339745244
emissionprobs	3	0	H3K27ac	1	6.284660254755972E-4
emissionprobs	3	1	H3K27me3	0	0.9961177193581068
emissionprobs	3	1	H3K27me3	1	0.003882280641893229
emissionprobs	3	2	H3K36me3	0	0.9998219169342547
emissionprobs	3	2	H3K36me3	1	1.7808306574521165E-4
emissionprobs	3	3	H3K4me1	0	0.9992119982775429
emissionprobs	3	3	H3K4me1	1	7.880017224571296E-4
emissionprobs	3	4	H3K4me3	0	0.9996388075636523
emissionprobs	3	4	H3K4me3	1	3.611924363477358E-4
emissionprobs	3	5	H3K9me3	0	0.9958970077227467
emissionprobs	3	5	H3K9me3	1	0.004102992277253221
emissionprobs	4	0	H3K27ac	0	0.9984817131355102
emissionprobs	4	0	H3K27ac	1	0.0015182868644898432
emissionprobs	4	1	H3K27me3	0	0.9842980248099824
emissionprobs	4	1	H3K27me3	1	0.015701975190017602
emissionprobs	4	2	H3K36me3	0	0.9928739580254096
emissionprobs	4	2	H3K36me3	1	0.0071260419745904505
emissionprobs	4	3	H3K4me1	0	0.9991854852469826
emissionprobs	4	3	H3K4me1	1	8.145147530173833E-4
emissionprobs	4	4	H3K4me3	0	0.9992404230292653
emissionprobs	4	4	H3K4me3	1	7.595769707347881E-4
emissionprobs	4	5	H3K9me3	0	0.6476962390478355
emissionprobs	4	5	H3K9me3	1	0.35230376095216454
emissionprobs	5	0	H3K27ac	0	0.9831830543168194
emissionprobs	5	0	H3K27ac	1	0.016816945683180637
emissionprobs	5	1	H3K27me3	0	0.9995397856493402
emissionprobs	5	1	H3K27me3	1	4.602143506598229E-4
emissionprobs	5	2	H3K36me3	0	0.1666337514308988
emissionprobs	5	2	H3K36me3	1	0.8333662485691012
emissionprobs	5	3	H3K4me1	0	0.9959219499688708
emissionprobs	5	3	H3K4me1	1	0.004078050031129182
emissionprobs	5	4	H3K4me3	0	0.9989817348831456
emissionprobs	5	4	H3K4me3	1	0.001018265116854471
emissionprobs	5	5	H3K9me3	0	0.9879558177684263
emissionprobs	5	5	H3K9me3	1	0.012044182231573641
emissionprobs	6	0	H3K27ac	0	0.9925644681233581
emissionprobs	6	0	H3K27ac	1	0.007435531876642003
emissionprobs	6	1	H3K27me3	0	0.9997545660765621
emissionprobs	6	1	H3K27me3	1	2.4543392343783437E-4
emissionprobs	6	2	H3K36me3	0	0.9287723478182304
emissionprobs	6	2	H3K36me3	1	0.07122765218176964
emissionprobs	6	3	H3K4me1	0	0.9904196240663886
emissionprobs	6	3	H3K4me1	1	0.00958037593361146
emissionprobs	6	4	H3K4me3	0	0.9995025847598181
emissionprobs	6	4	H3K4me3	1	4.97415240181817E-4
emissionprobs	6	5	H3K9me3	0	0.9990844645106548
emissionprobs	6	5	H3K9me3	1	9.15535489345193E-4
emissionprobs	7	0	H3K27ac	0	0.6897108037004993
emissionprobs	7	0	H3K27ac	1	0.3102891962995007
emissionprobs	7	1	H3K27me3	0	0.9993066804455483
emissionprobs	7	1	H3K27me3	1	6.933195544517017E-4
emissionprobs	7	2	H3K36me3	0	0.17946165728633728
emissionprobs	7	2	H3K36me3	1	0.8205383427136628
emissionprobs	7	3	H3K4me1	0	0.35426051958989124
emissionprobs	7	3	H3K4me1	1	0.6457394804101088
emissionprobs	7	4	H3K4me3	0	0.9471691913318161
emissionprobs	7	4	H3K4me3	1	0.05283080866818395
emissionprobs	7	5	H3K9me3	0	0.996924342389346
emissionprobs	7	5	H3K9me3	1	0.0030756576106539947
emissionprobs	8	0	H3K27ac	0	0.9708468793193616
emissionprobs	8	0	H3K27ac	1	0.029153120680638397
emissionprobs	8	1	H3K27me3	0	0.997643319406713
emissionprobs	8	1	H3K27me3	1	0.0023566805932869342
emissionprobs	8	2	H3K36me3	0	0.9913528716977061
emissionprobs	8	2	H3K36me3	1	0.008647128302293982
emissionprobs	8	3	H3K4me1	0	0.25058219290173
emissionprobs	8	3	H3K4me1	1	0.74941780709827
emissionprobs	8	4	H3K4me3	0	0.9943547101291592
